id	coordinates
14694	(-97.7495,30.2731),(-97.752,30.2737)
114694	(-97.752,30.2737),(-97.7495,30.2731)
14707	(-97.7513,30.2828),(-97.7506,30.28)
114707	(-97.7506,30.28),(-97.7513,30.2828)
14711	(-97.7368,30.2803),(-97.7375,30.2805)
114711	(-97.7375,30.2805),(-97.7368,30.2803)
14715	(-97.7459,30.2669),(-97.7455,30.2678)
14985	(-97.7481,30.2675),(-97.7491,30.2678)
114985	(-97.7491,30.2678),(-97.7481,30.2675)
14986	(-97.7481,30.2675),(-97.747,30.2672)
114986	(-97.747,30.2672),(-97.7481,30.2675)
14987	(-97.747,30.2672),(-97.7459,30.2669)
114987	(-97.7459,30.2669),(-97.747,30.2672)
14995	(-97.7452,30.2687),(-97.7463,30.269)
14996	(-97.7455,30.2678),(-97.7452,30.2687)
115486	(-97.7389,30.2649),(-97.74,30.2652)
15487	(-97.7378,30.2646),(-97.7382,30.2637)
115487	(-97.7382,30.2637),(-97.7378,30.2646)
115488	(-97.7378,30.2646),(-97.7389,30.2649)
15489	(-97.7389,30.2649),(-97.7386,30.2658)
115489	(-97.7386,30.2658),(-97.7389,30.2649)
15510	(-97.7477,30.2894),(-97.7477,30.2892)
115510	(-97.7477,30.2892),(-97.7477,30.2894)
15588	(-97.7459,30.2797),(-97.7462,30.2788)
115588	(-97.7462,30.2788),(-97.7459,30.2797)
115589	(-97.7449,30.2853),(-97.7448,30.2866)
15590	(-97.7513,30.2884),(-97.7528,30.2885)
115590	(-97.7528,30.2885),(-97.7513,30.2884)
15625	(-97.7456,30.3013),(-97.7462,30.3002)
115625	(-97.7462,30.3002),(-97.7456,30.3013)
15710	(-97.7393,30.2897),(-97.7401,30.2897)
115710	(-97.7401,30.2897),(-97.7393,30.2897)
15711	(-97.7315,30.2893),(-97.7347,30.2893)
115711	(-97.7347,30.2893),(-97.7315,30.2893)
15733	(-97.7357,30.2972),(-97.7359,30.2968)
115733	(-97.7359,30.2968),(-97.7357,30.2972)
15776	(-97.7409,30.2984),(-97.7412,30.2978)
115776	(-97.7412,30.2978),(-97.7409,30.2984)
15777	(-97.7413,30.2907),(-97.7414,30.2898)
115777	(-97.7414,30.2898),(-97.7413,30.2907)
15778	(-97.7417,30.2861),(-97.7418,30.285)
115778	(-97.7418,30.285),(-97.7417,30.2861)
15802	(-97.7326,30.2852),(-97.7337,30.2853)
115802	(-97.7337,30.2853),(-97.7326,30.2852)
15812	(-97.7323,30.2852),(-97.7326,30.2852)
115812	(-97.7326,30.2852),(-97.7323,30.2852)
15841	(-97.7406,30.2837),(-97.7409,30.2837)
115841	(-97.7409,30.2837),(-97.7406,30.2837)
15859	(-97.7409,30.2837),(-97.7419,30.2838)
115859	(-97.7419,30.2838),(-97.7409,30.2837)
15885	(-97.7421,30.2699),(-97.7425,30.269)
115885	(-97.7425,30.269),(-97.7421,30.2699)
15888	(-97.7407,30.2633),(-97.7404,30.2643)
15988	(-97.7495,30.2763),(-97.7499,30.2764)
115988	(-97.7499,30.2764),(-97.7495,30.2763)
16008	(-97.7341,30.2919),(-97.7347,30.291)
116008	(-97.7347,30.291),(-97.7341,30.2919)
16035	(-97.747,30.2768),(-97.7474,30.2758)
116035	(-97.7474,30.2758),(-97.747,30.2768)
16036	(-97.7469,30.277),(-97.747,30.2768)
116036	(-97.747,30.2768),(-97.7469,30.277)
116041	(-97.7368,30.2674),(-97.7357,30.2671)
16104	(-97.7319,30.2851),(-97.7323,30.2852)
116104	(-97.7323,30.2852),(-97.7319,30.2851)
16109	(-97.7522,30.2752),(-97.7523,30.2749)
116109	(-97.7523,30.2749),(-97.7522,30.2752)
16141	(-97.7339,30.2922),(-97.7341,30.2919)
116141	(-97.7341,30.2919),(-97.7339,30.2922)
16146	(-97.7393,30.2671),(-97.7404,30.2674)
16214	(-97.7414,30.2891),(-97.7415,30.2883)
116214	(-97.7415,30.2883),(-97.7414,30.2891)
16217	(-97.7412,30.2978),(-97.7421,30.2965)
116217	(-97.7421,30.2965),(-97.7412,30.2978)
16247	(-97.7401,30.2897),(-97.7414,30.2898)
116247	(-97.7414,30.2898),(-97.7401,30.2897)
16274	(-97.7483,30.2696),(-97.7484,30.2696)
16470	(-97.751,30.2884),(-97.7513,30.2884)
116470	(-97.7513,30.2884),(-97.751,30.2884)
16514	(-97.7463,30.2971),(-97.7469,30.2974)
116514	(-97.7469,30.2974),(-97.7463,30.2971)
16526	(-97.7369,30.2953),(-97.7375,30.2943)
116526	(-97.7375,30.2943),(-97.7369,30.2953)
16540	(-97.7366,30.2918),(-97.7366,30.2916)
116540	(-97.7366,30.2916),(-97.7366,30.2918)
16547	(-97.7366,30.2916),(-97.7368,30.2895)
116547	(-97.7368,30.2895),(-97.7366,30.2916)
16548	(-97.7363,30.2963),(-97.7369,30.2953)
116548	(-97.7369,30.2953),(-97.7363,30.2963)
16564	(-97.7476,30.2977),(-97.7485,30.2981)
116564	(-97.7485,30.2981),(-97.7476,30.2977)
16565	(-97.7441,30.2937),(-97.7443,30.292)
116565	(-97.7443,30.292),(-97.7441,30.2937)
16568	(-97.744,30.295),(-97.7441,30.2945)
116568	(-97.7441,30.2945),(-97.744,30.295)
116569	(-97.7444,30.2907),(-97.7443,30.292)
16570	(-97.7445,30.2893),(-97.7446,30.2887)
116570	(-97.7446,30.2887),(-97.7445,30.2893)
16602	(-97.7342,30.2708),(-97.7354,30.2712)
116602	(-97.7354,30.2712),(-97.7342,30.2708)
16639	(-97.7464,30.2908),(-97.7475,30.2909)
116639	(-97.7475,30.2909),(-97.7464,30.2908)
16640	(-97.7479,30.2871),(-97.7481,30.2855)
116640	(-97.7481,30.2855),(-97.7479,30.2871)
16641	(-97.7467,30.2854),(-97.7481,30.2855)
116641	(-97.7481,30.2855),(-97.7467,30.2854)
16653	(-97.7523,30.2749),(-97.7528,30.2739)
116653	(-97.7528,30.2739),(-97.7523,30.2749)
16765	(-97.7382,30.2668),(-97.7389,30.2669)
16796	(-97.744,30.2839),(-97.7441,30.284)
116796	(-97.7441,30.284),(-97.744,30.2839)
16996	(-97.7397,30.2661),(-97.7393,30.2671)
117426	(-97.74,30.2652),(-97.7411,30.2655)
17612	(-97.7477,30.2636),(-97.7487,30.2611)
117612	(-97.7487,30.2611),(-97.7477,30.2636)
17614	(-97.7469,30.2641),(-97.7466,30.265)
17616	(-97.7462,30.2659),(-97.7459,30.2669)
117617	(-97.7459,30.27),(-97.7448,30.2697)
17618	(-97.7452,30.2687),(-97.7448,30.2697)
17620	(-97.7448,30.2697),(-97.7445,30.2706)
17621	(-97.7441,30.2715),(-97.7438,30.2725)
17730	(-97.7445,30.2706),(-97.7441,30.2715)
17735	(-97.752,30.2737),(-97.7528,30.2739)
117735	(-97.7528,30.2739),(-97.752,30.2737)
17736	(-97.7534,30.2727),(-97.754,30.2715)
117736	(-97.754,30.2715),(-97.7534,30.2727)
18161	(-97.7365,30.2683),(-97.7368,30.2674)
118161	(-97.7368,30.2674),(-97.7365,30.2683)
18163	(-97.7397,30.2692),(-97.74,30.2683)
18164	(-97.7365,30.2683),(-97.7376,30.2687)
18165	(-97.7358,30.2702),(-97.7369,30.2705)
18170	(-97.7369,30.2705),(-97.7379,30.2708)
18171	(-97.7372,30.2696),(-97.7369,30.2705)
118171	(-97.7369,30.2705),(-97.7372,30.2696)
118172	(-97.74,30.2683),(-97.739,30.268)
18175	(-97.7387,30.269),(-97.7397,30.2692)
18177	(-97.7387,30.269),(-97.7383,30.2699)
18178	(-97.7379,30.2708),(-97.739,30.2711)
18179	(-97.7383,30.2699),(-97.7379,30.2708)
18180	(-97.7376,30.2687),(-97.7387,30.269)
18181	(-97.7379,30.2677),(-97.7376,30.2687)
118181	(-97.7376,30.2687),(-97.7379,30.2677)
18182	(-97.7376,30.2687),(-97.7372,30.2696)
118182	(-97.7372,30.2696),(-97.7376,30.2687)
18183	(-97.7397,30.2692),(-97.7402,30.2694)
18184	(-97.7408,30.2696),(-97.7421,30.2699)
18185	(-97.7434,30.2703),(-97.7438,30.2693)
18186	(-97.7421,30.2699),(-97.7428,30.2701)
18187	(-97.7434,30.2703),(-97.7445,30.2706)
18189	(-97.7445,30.2706),(-97.745,30.2707)
18191	(-97.739,30.2711),(-97.7395,30.2713)
18192	(-97.7401,30.2714),(-97.7414,30.2718)
18193	(-97.7414,30.2718),(-97.7427,30.2722)
18194	(-97.7438,30.2725),(-97.7435,30.2734)
18195	(-97.7427,30.2722),(-97.7433,30.2723)
18196	(-97.7379,30.2708),(-97.7376,30.2718)
18197	(-97.7429,30.2732),(-97.7435,30.2734)
118197	(-97.7435,30.2734),(-97.7429,30.2732)
18199	(-97.7429,30.2732),(-97.7425,30.2743)
118199	(-97.7425,30.2743),(-97.7429,30.2732)
18200	(-97.7437,30.2759),(-97.7438,30.2757)
18201	(-97.7426,30.2756),(-97.7437,30.2759)
118201	(-97.7437,30.2759),(-97.7426,30.2756)
18203	(-97.7448,30.2763),(-97.7459,30.2765)
118203	(-97.7459,30.2765),(-97.7448,30.2763)
18204	(-97.7459,30.2765),(-97.747,30.2768)
118204	(-97.747,30.2768),(-97.7459,30.2765)
18207	(-97.7425,30.2743),(-97.742,30.2755)
118207	(-97.742,30.2755),(-97.7425,30.2743)
18208	(-97.7431,30.2744),(-97.7425,30.2743)
118208	(-97.7425,30.2743),(-97.7431,30.2744)
18210	(-97.7413,30.2763),(-97.7408,30.2773)
118210	(-97.7408,30.2773),(-97.7413,30.2763)
18211	(-97.7408,30.2773),(-97.7404,30.2783)
118211	(-97.7404,30.2783),(-97.7408,30.2773)
18212	(-97.7404,30.2783),(-97.7401,30.2792)
118212	(-97.7401,30.2792),(-97.7404,30.2783)
18213	(-97.7401,30.2792),(-97.7399,30.2797)
118213	(-97.7399,30.2797),(-97.7401,30.2792)
18214	(-97.7398,30.28),(-97.7394,30.281)
118214	(-97.7394,30.281),(-97.7398,30.28)
18215	(-97.7368,30.2772),(-97.7371,30.2762)
18216	(-97.7392,30.2779),(-97.7395,30.2769)
118216	(-97.7395,30.2769),(-97.7392,30.2779)
