    id coordinates
   413 (-104.1176, 55.2560), (-104.1178, 55.2589)
   414 (-104.1176, 55.2560), (-104.1124, 55.2570)
   415 (-104.1095, 55.2609), (-104.1135, 55.2615)
   416 (-104.1095, 55.2609), (-104.1130, 55.2592)
   417 (-104.1095, 55.2609), (-104.1090, 55.2639)
   418 (-104.1207, 55.2600), (-104.1238, 55.2581)
   419 (-104.1207, 55.2600), (-104.1175, 55.2596)
   420 (-104.1304, 55.2566), (-104.1330, 55.2550)
   421 (-104.1304, 55.2566), (-104.1302, 55.2554)
   422 (-104.1392, 55.2568), (-104.1387, 55.2553)
   423 (-104.1392, 55.2568), (-104.1389, 55.2575)
   424 (-104.1327, 55.2594), (-104.1337, 55.2569)
   425 (-104.1327, 55.2594), (-104.1304, 55.2603)
   426 (-104.1247, 55.2618), (-104.1243, 55.2614)
   427 (-104.1187, 55.2623), (-104.1195, 55.2632)
   428 (-104.1187, 55.2623), (-104.1174, 55.2623)
   429 (-104.1088, 55.2654), (-104.1090, 55.2639)
   430 (-104.1088, 55.2654), (-104.1094, 55.2664)
   431 (-104.1141, 55.2664), (-104.1146, 55.2636)
   432 (-104.1141, 55.2664), (-104.1094, 55.2664)
   433 (-104.0877, 55.2453), (-104.0985, 55.2449)
   434 (-104.0877, 55.2453), (-104.0834, 55.2460)
   435 (-104.0823, 55.2505), (-104.0843, 55.2503)
   436 (-104.0823, 55.2505), (-104.0800, 55.2484)
   437 (-104.0823, 55.2505), (-104.0764, 55.2496)
   438 (-104.0977, 55.2493), (-104.0995, 55.2492)
   439 (-104.0977, 55.2493), (-104.0957, 55.2495)
   440 (-104.1044, 55.2445), (-104.1061, 55.2443)
   441 (-104.1044, 55.2445), (-104.1031, 55.2468)
   442 (-104.1044, 55.2445), (-104.0985, 55.2449)
   443 (-104.1038, 55.2489), (-104.1071, 55.2488)
   444 (-104.1038, 55.2489), (-104.1042, 55.2511)
   445 (-104.1038, 55.2489), (-104.1031, 55.2468)
   446 (-104.1038, 55.2489), (-104.0995, 55.2492)
   447 (-104.1043, 55.2526), (-104.1078, 55.2525)
   448 (-104.1043, 55.2526), (-104.1042, 55.2511)
   449 (-104.1047, 55.2562), (-104.1053, 55.2563)
   450 (-104.0993, 55.2578), (-104.0991, 55.2570)
   451 (-104.0993, 55.2578), (-104.0973, 55.2579)
   452 (-104.0938, 55.2577), (-104.0933, 55.2565)
   453 (-104.0932, 55.2547), (-104.0966, 55.2541)
   454 (-104.0932, 55.2547), (-104.0892, 55.2554)
   455 (-104.0854, 55.2565), (-104.0892, 55.2554)
   456 (-104.0854, 55.2565), (-104.0844, 55.2576)
   457 (-104.0854, 55.2565), (-104.0832, 55.2552)
   458 (-104.0711, 55.2468), (-104.0717, 55.2446)
   459 (-104.0711, 55.2468), (-104.0708, 55.2489)
   460 (-104.0701, 55.2504), (-104.0708, 55.2489)
   461 (-104.0701, 55.2504), (-104.0709, 55.2512)
   462 (-104.0605, 55.2548), (-104.0655, 55.2562)
