Link id	Type	FFtime	0	900	1800	2700	3600	4500	5400	6300	7200	8100	9000	9900	10800	11700
131	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
132	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
133	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
134	1001	0.0	-0.1	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
135	1001	0.0	-0.1	-0.1	-0.1	-0.1	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
136	1001	0.0	-0.1	6.0	-0.1	6.0	6.0	-0.1	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
137	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
138	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
139	1001	0.0	-0.1	6.0	-0.1	6.0	6.0	-0.1	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
140	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
141	1001	0.0	6.0	6.0	6.0	-0.1	-0.1	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
142	1001	0.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
143	1001	0.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1	6.0	6.0	-0.1	-0.1	-0.1	-0.1	-0.1	-0.1
